Annotation Cluster 1	EnrichmentScore:4.621889380047541
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	38	26.38888888888889	1.956609175453134e-09	1645_AT, 34623_AT, 1372_AT, 35091_AT, 36766_AT, 31525_S_AT, 37898_R_AT, 35090_G_AT, 31506_S_AT, 2090_I_AT, 33684_AT, 1855_AT, 38691_S_AT, 38646_S_AT, 1890_AT, 34012_AT, 37454_AT, 33979_AT, 34546_AT, 37061_AT, 35367_AT, 35915_AT, 38604_AT, 32250_AT, 37172_AT, 34618_AT, 37105_AT, 36436_AT, 33530_AT, 37905_R_AT, 37096_AT, 31512_AT, 1403_S_AT, 679_AT, 33963_AT, 1786_AT, 35169_AT, 36703_AT, 31687_F_AT, 31793_AT, 33284_AT	137	1931	20521	2.947672814282528	4.578464503079971e-07	4.578465470560334e-07	4.480635011787677e-05
GOTERM_CC_DIRECT	GO:0005576~extracellular region	38	26.38888888888889	4.548707285281044e-08	1645_AT, 34623_AT, 1372_AT, 35091_AT, 36766_AT, 31525_S_AT, 37898_R_AT, 35090_G_AT, 31506_S_AT, 2090_I_AT, 33684_AT, 1855_AT, 38691_S_AT, 1890_AT, 37454_AT, 36328_AT, 36479_AT, 33979_AT, 34546_AT, 1112_G_AT, 37061_AT, 35367_AT, 35915_AT, 38604_AT, 32250_AT, 34703_F_AT, 37172_AT, 35956_S_AT, 1331_S_AT, 37105_AT, 37096_AT, 40350_AT, 1403_S_AT, 679_AT, 33963_AT, 31621_S_AT, 35169_AT, 36703_AT, 31687_F_AT, 31793_AT, 33284_AT	137	2172	20521	2.620605987283408	1.06439186505769e-05	5.321987523778821e-06	0.0005208269841646795
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	35	24.305555555555554	2.5051259868565866e-06	1645_AT, 34623_AT, 1372_AT, 35091_AT, 37898_R_AT, 35090_G_AT, 31506_S_AT, 2090_I_AT, 33684_AT, 1855_AT, 38691_S_AT, 38646_S_AT, 1890_AT, 37454_AT, 36328_AT, 33979_AT, 34546_AT, 1112_G_AT, 37061_AT, 35367_AT, 35915_AT, 38604_AT, 32250_AT, 34703_F_AT, 37172_AT, 34618_AT, 35956_S_AT, 1331_S_AT, 37105_AT, 36436_AT, 40350_AT, 31512_AT, 1403_S_AT, 679_AT, 31621_S_AT, 35169_AT, 36703_AT, 31793_AT	124	2174	17910	2.325318277591477	9.268548204943716e-05	9.268966151369371e-05	0.00926896615136937
UP_KW_DOMAIN	KW-0732~Signal	51	35.41666666666667	6.896154215101446e-05	1645_AT, 34623_AT, 1372_AT, 36766_AT, 35090_G_AT, 2090_I_AT, 37454_AT, 1901_S_AT, 34546_AT, 1112_G_AT, 37061_AT, 32250_AT, 34703_F_AT, 35956_S_AT, 38482_AT, 1331_S_AT, 37105_AT, 33530_AT, 37096_AT, 38236_AT, 37968_AT, 1403_S_AT, 33963_AT, 1786_AT, 31621_S_AT, 35169_AT, 37408_AT, 36703_AT, 38229_AT, 32469_AT, 31687_F_AT, 32073_AT, 35903_AT, 35091_AT, 37898_R_AT, 31506_S_AT, 33684_AT, 1855_AT, 1890_AT, 38646_S_AT, 36328_AT, 33979_AT, 35915_AT, 38604_AT, 1355_G_AT, 37172_AT, 34618_AT, 36436_AT, 40350_AT, 31512_AT, 679_AT, 31793_AT, 33284_AT, 35121_AT	104	4412	14600	1.6227596066671315	0.0014471941254197151	0.0014481923851713038	0.14481923851713038
UP_KW_PTM	KW-1015~Disulfide bond	47	32.63888888888889	0.0023029017549046553	34623_AT, 1372_AT, 37983_AT, 36766_AT, 35090_G_AT, 2090_I_AT, 38691_S_AT, 37454_AT, 1901_S_AT, 34467_G_AT, 34546_AT, 1112_G_AT, 37061_AT, 37953_S_AT, 35367_AT, 32250_AT, 35956_S_AT, 35038_AT, 40317_AT, 1331_S_AT, 37105_AT, 33530_AT, 37096_AT, 38236_AT, 37968_AT, 1403_S_AT, 33963_AT, 1786_AT, 36378_AT, 31621_S_AT, 37408_AT, 36703_AT, 35091_AT, 37898_R_AT, 31506_S_AT, 33684_AT, 38646_S_AT, 1890_AT, 36328_AT, 33979_AT, 35915_AT, 1355_G_AT, 37172_AT, 32439_AT, 36436_AT, 40350_AT, 31512_AT, 679_AT, 31793_AT, 33284_AT	117	3870	14237	1.4778131142472228	0.051646373698524206	0.05526964211771172	5.526964211771173
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	43	29.86111111111111	0.0057713359353918	1372_AT, 35091_AT, 37983_AT, 36766_AT, 35090_G_AT, 2090_I_AT, 33684_AT, 1855_AT, 1890_AT, 37097_AT, 1901_S_AT, 36328_AT, 33979_AT, 34467_G_AT, 1112_G_AT, 37953_S_AT, 33293_AT, 35915_AT, 32250_AT, 34703_F_AT, 1355_G_AT, 37172_AT, 34618_AT, 35956_S_AT, 40317_AT, 1331_S_AT, 32439_AT, 32084_AT, 33530_AT, 37096_AT, 38236_AT, 40350_AT, 37968_AT, 1575_AT, 33963_AT, 1786_AT, 36378_AT, 35169_AT, 37408_AT, 34436_AT, 32469_AT, 33284_AT, 35121_AT, 35903_AT	136	4422	20562	1.4701991379998403	0.9943737308728959	1.0	100.0
UP_KW_PTM	KW-0325~Glycoprotein	51	35.41666666666667	0.02169671386361338	34623_AT, 1372_AT, 37983_AT, 36766_AT, 31525_S_AT, 35090_G_AT, 2090_I_AT, 1901_S_AT, 34467_G_AT, 1112_G_AT, 37953_S_AT, 37061_AT, 33293_AT, 32250_AT, 34703_F_AT, 35956_S_AT, 40317_AT, 1331_S_AT, 37105_AT, 32084_AT, 33530_AT, 37096_AT, 38236_AT, 37968_AT, 1403_S_AT, 1575_AT, 33963_AT, 36378_AT, 1786_AT, 35169_AT, 37408_AT, 34436_AT, 32469_AT, 31687_F_AT, 35903_AT, 35091_AT, 1974_S_AT, 33684_AT, 1855_AT, 1890_AT, 38646_S_AT, 37097_AT, 36328_AT, 33979_AT, 35915_AT, 1355_G_AT, 37172_AT, 34618_AT, 32439_AT, 40350_AT, 679_AT, 33284_AT, 35121_AT	117	4801	14237	1.2926206612938544	0.3962032325700727	0.19576239921546934	19.576239921546936
Annotation Cluster 2	EnrichmentScore:2.883737853243646
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002227~innate immune response in mucosa	6	4.166666666666666	5.320246011016406e-06	34623_AT, 36766_AT, 33979_AT, 1419_G_AT, 31506_S_AT, 34546_AT, 31793_AT	134	37	19256	23.302944735780557	0.0065278407296744945	0.006549222839561195	0.6480059641417982
